Data_arable_land
Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2022-07-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;;;
;;;;;329000;327000;325000;323000;322000;320000;318000;316000;314000;313000;311000;309000;307000;212000;116400;114000;112000;110000;108000;107200;110400;115000;116000;115000;102800;103200;103400;103400;104400;105600;106200;107600;108700;99400;99100;99000;98100;100100;101100;98400;98000;100000;112000;113000;123000;115000;109800;82400;86900;82600;84000;85800;79730;80180;98380;81600;94330;104005;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3332000;3317000;3301000;3257000;3250000;3261000;3256000;3243000;3236000;3229000;3223000;3216000;3209000;3202000;3195000;3188000;3180000;3171000;3164000;3157000;2501000;2489000;2490000;2491000;2496000;2484000;;;;
;;;;;12220000;12185000;12165000;12161000;12153000;12155000;12049000;12032000;12001000;11952000;11965000;12004000;11990000;12020000;12041000;12087000;12071000;12086000;12057000;12030000;12004000;11975000;11967000;11952000;11957000;11960000;11945000;11948000;11949000;11971000;11559000;11467000;11676000;11805000;11835000;11835000;11832000;11879000;11822000;11804000;11813000;11791000;11827000;11898000;11904000;11866000;11877000;11932000;11945000;11846000;11875000;11834000;11876000;11869000;11846000;11762000;11772000;11731000;;;;
;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1300;1500;1200;1300;1600;2000;2000;2000;2000;2000;2000;2000;2000;;;;
;;;;;7000;8000;8000;8000;8000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;7000;6000;6000;6000;6000;6000;6000;5000;5000;5000;4000;4000;4000;4000;3000;3000;3000;3000;4000;5000;5000;5000;5000;5000;5000;5000;5000;5000;6000;6000;6000;6000;6000;6000;6000;6000;6000;6000;;;;
;;;;;2807000;2773000;2744000;2726000;2693000;2686000;2685000;2694000;2678000;2661000;2647000;2651000;2653000;2641000;2650000;2657000;2637000;2643000;2642000;2639000;2637000;2630000;2593000;2612000;2601000;2594000;2578000;2560000;2545000;2561000;2548000;2539000;2533000;2365000;2319000;2322000;2365000;2366000;2294000;2281000;2292000;2276000;2266000;2269000;2332000;2347000;2306000;2402000;2431000;2421000;2499000;2418000;2407600;2432000;2351651;2373859;2370355;2392000;;;;
;;;;;720000;730000;740000;750000;760000;770000;780000;780000;815000;820000;826000;850000;865000;885000;915000;960000;990000;1015000;1040000;1070000;1075000;1075000;1075000;1075000;1075000;1075000;991000;991000;995000;900000;900000;900000;900000;900000;930000;935000;860000;870000;850000;898000;898000;898000;820000;820000;820000;820000;820000;800000;800000;800000;800000;800000;800000;800000;877000;877000;877000;877000;;;;
;;;;;6472000;6300000;6200000;6132000;6203000;6221000;6301000;6243000;6233000;6248000;6380000;6510000;6512000;6544000;6845000;7092000;6904000;6892000;6846000;6875000;6885000;6881000;6592000;6915000;6910000;6967000;7069000;7101000;7129000;7081000;7260000;7562000;7533000;7477000;7519000;7521000;7650000;7661000;7673000;7662000;7583000;7547000;7503700;7493000;7511000;7470000;7469000;7489000;7493000;7502000;7502000;7506500;7496200;7469400;7462100;7404200;7470807.1;7505017;;;;
